condition,recipe,n_seeds,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,f1_negative_mean,f1_negative_std,f1_neutral_mean,f1_neutral_std,f1_positive_mean,f1_positive_std
A0,r08,5,0.37248015225936226,0.009150966473104635,0.41655172413793107,0.0051937971502928745,0.3276761825417322,0.04731590436171554,0.5212703933576491,0.015178539018131789,0.2684938808787055,0.010451249618662239
A1,r07,5,0.40396578566980057,0.007663835961503835,0.4389272030651341,0.005284579202932312,0.389174236025634,0.030826696096010707,0.5206762099003992,0.013417897643869109,0.30204691108336845,0.020595200774314794
A2,r03,5,0.36992545614955946,0.07789728973264758,0.49448275862068963,0.009755002962267719,0.2317734314181,0.12000289114065875,0.6251512008332863,0.013955100693261571,0.252851736197292,0.13610856405684482
A3,r04,5,0.4032387083063177,0.04312362579227893,0.4951724137931034,0.008898792210810075,0.35643424343684604,0.060316239134218005,0.6092666780398274,0.028005252320511365,0.24401520344227956,0.1156421854801444
A4,r03,5,0.4111153577897483,0.031082115787107973,0.505977011494253,0.003051694674596147,0.32008915109023217,0.044237242953783465,0.6278917352382527,0.0127474389319722,0.28536518704076,0.0635852904145289
A5,r07,5,0.39008984615778297,0.008066098092840467,0.4208429118773947,0.00988060133008708,0.38726669859813995,0.017983469342049346,0.5002844983995088,0.01027729045952089,0.28271834147570013,0.016225860719515886
mask_only,r05,5,0.245906489515357,0.0021132271165865547,0.46896551724137936,0.0031314661673107406,0.0509108908513083,0.006774509757466257,0.6381519845904472,0.0025793225248371457,0.0486565931043155,0.006401056584528106
trivial_feature_probe,n/a (not searched),5,0.36475206535801097,0.0,0.4068965517241379,0.0,0.33204633204633205,0.0,0.5138941758660068,0.0,0.24831568816169397,2.7755575615628914e-17
