condition,recipe,n_seeds,primary_macro_f1_classes1to3_mean,primary_macro_f1_classes1to3_std,NOTE_class0_excluded_from_primary,macro_f1_4class_secondary_mean,macro_f1_4class_secondary_std,accuracy_mean,accuracy_std,class0_raw_f1_mean,class0_raw_f1_std,class0_n_test_items,class1_f1_mean,class1_f1_std,class2_f1_mean,class2_f1_std,class3_f1_mean,class3_f1_std
A0,r08,5,0.36986788723568254,0.02345602824972269,class 0 (4 test clips) is excluded from the primary macro-F1 average; see class0_raw_f1_mean/class0_n_test_items,0.28656758209342864,0.019154526837493042,0.4921524663677131,0.011372156639386347,0.03666666666666667,0.04521553322083513,4,0.1036462666141903,0.05414465543363733,0.4954263189060365,0.03571383061126001,0.5105310761868209,0.06307561681689401
A1,r06,5,0.3735971521504029,0.0063970405948021135,class 0 (4 test clips) is excluded from the primary macro-F1 average; see class0_raw_f1_mean/class0_n_test_items,0.2801978641128022,0.00479778044610158,0.5172645739910313,0.014623063296468855,0.0,0.0,4,0.06017595307917889,0.033683734761279116,0.5378741528073638,0.03809739186183931,0.5227413505646659,0.024220331313455485
